word,in_text
airline,0
america,0
asia,0
asian,0
atlantic,0
australian,0
bamboo,0
camel,0
canada,0
cancer,0
cd,0
cd-rom,0
cent,0
chairman,0
chemistry,0
chopsticks,0
clone,0
coke,0
college,0
cooker,0
crayon,0
culture,0
dialogue,0
disease,0
dollar,0
don't,0
drug,0
dvd,0
e-mail,0
engineer,0
excite,0
factory,0
farmer,0
festival,0
fisherman,0
geography,0
grammar,0
granddaughter,0
grandma,0
grandpa,0
granny,0
hometown,0
hot dog,0
india,0
indian,0
industry,0
internet,0
japan,0
keyboard,0
kilo,0
kilometer,0
lab,0
lemonade,0
noodle,0
northern,0
officer,0
pacific,0
pancake,0
passport,0
physics,0
pilot,0
ping-pong,0
pioneer,0
policewoman,0
pronunciation,0
russia,0
russian,0
scientist,0
seldom,0
soldier,0
southern,0
table tennis,0
technology,0
toothpaste,0
truck,0
university,0
vcd,0
violin,0
volleyball,0
watermelon,0
website,0
weekday,0
western,0
wheat,0
x-ray,0
zebra,0
